year,hole_number,par
1973,1,4
1973,2,4
1973,3,4
1973,4,5
1973,5,4
1973,6,3
1973,7,4
1973,8,3
1973,9,5
1973,10,4
1973,11,4
1973,12,5
1973,13,3
1973,14,4
1973,15,4
1973,16,3
1973,17,4
1973,18,4
1983,1,4
1983,2,4
1983,3,4
1983,4,5
1983,5,4
1983,6,3
1983,7,4
1983,8,3
1983,9,5
1983,10,4
1983,11,4
1983,12,5
1983,13,3
1983,14,4
1983,15,4
1983,16,3
1983,17,4
1983,18,4
1994,1,4
1994,2,4
1994,3,4
1994,4,5
1994,5,4
1994,6,3
1994,7,4
1994,8,3
1994,9,5
1994,10,4
1994,11,4
1994,12,5
1994,13,3
1994,14,4
1994,15,4
1994,16,3
1994,17,4
1994,18,4
2007,1,4
2007,2,4
2007,3,4
2007,4,5
2007,5,4
2007,6,3
2007,7,4
2007,8,3
2007,9,4
2007,10,4
2007,11,4
2007,12,5
2007,13,3
2007,14,4
2007,15,4
2007,16,3
2007,17,4
2007,18,4
2016,1,4
2016,2,4
2016,3,4
2016,4,5
2016,5,4
2016,6,3
2016,7,4
2016,8,3
2016,9,4
2016,10,4
2016,11,4
2016,12,5
2016,13,3
2016,14,4
2016,15,4
2016,16,3
2016,17,4
2016,18,4
