year,hole_number,par
1972,1,4
1972,2,5
1972,3,4
1972,4,4
1972,5,3
1972,6,5
1972,7,3
1972,8,4
1972,9,4
1972,10,4
1972,11,4
1972,12,3
1972,13,4
1972,14,5
1972,15,4
1972,16,4
1972,17,3
1972,18,5
1982,1,4
1982,2,5
1982,3,4
1982,4,4
1982,5,3
1982,6,5
1982,7,3
1982,8,4
1982,9,4
1982,10,4
1982,11,4
1982,12,3
1982,13,4
1982,14,5
1982,15,4
1982,16,4
1982,17,3
1982,18,5
1992,1,4
1992,2,5
1992,3,4
1992,4,4
1992,5,3
1992,6,5
1992,7,3
1992,8,4
1992,9,4
1992,10,4
1992,11,4
1992,12,3
1992,13,4
1992,14,5
1992,15,4
1992,16,4
1992,17,3
1992,18,5
2000,1,4
2000,2,4
2000,3,4
2000,4,4
2000,5,3
2000,6,5
2000,7,3
2000,8,4
2000,9,4
2000,10,4
2000,11,4
2000,12,3
2000,13,4
2000,14,5
2000,15,4
2000,16,4
2000,17,3
2000,18,5
2010,1,4
2010,2,4
2010,3,4
2010,4,4
2010,5,3
2010,6,5
2010,7,3
2010,8,4
2010,9,4
2010,10,4
2010,11,4
2010,12,3
2010,13,4
2010,14,5
2010,15,4
2010,16,4
2010,17,3
2010,18,5
2019,1,4
2019,2,4
2019,3,4
2019,4,4
2019,5,3
2019,6,5
2019,7,3
2019,8,4
2019,9,4
2019,10,4
2019,11,4
2019,12,3
2019,13,4
2019,14,5
2019,15,4
2019,16,4
2019,17,3
2019,18,5
