year,position,player,sum_of_strokes,round_number,hole_number
2019,NA,"AN, Byeong",3,1,1
2019,NA,"AN, Byeong",3,2,1
2019,NA,"AN, Byeong",4,3,1
2019,NA,"AN, Byeong",4,4,1
2019,NA,"ANCER, Abraham",5,1,1
2019,NA,"ANCER, Abraham",3,2,1
2019,NA,"ANCER, Abraham",4,3,1
2019,NA,"ANCER, Abraham",4,4,1
2019,NA,"APHIBARNRAT, Kiradech",4,1,1
2019,NA,"APHIBARNRAT, Kiradech",4,2,1
2019,NA,"ARENDELL, Connor",4,1,1
2019,NA,"ARENDELL, Connor",4,2,1
2019,NA,"ARNAUS, Adri",4,1,1
2019,NA,"ARNAUS, Adri",5,2,1
2019,NA,"ARNAUS, Adri",4,3,1
2019,NA,"ARNAUS, Adri",4,4,1
2019,NA,"BADDELEY, Aaron",4,1,1
2019,NA,"BADDELEY, Aaron",4,2,1
2019,NA,"BERGER, Daniel",4,1,1
2019,NA,"BERGER, Daniel",3,2,1
2019,NA,"BERGER, Daniel",4,3,1
2019,NA,"BERGER, Daniel",3,4,1
2019,NA,"BJERREGAARD, Lucas",4,1,1
2019,NA,"BJERREGAARD, Lucas",4,2,1
2019,NA,"BLAIR, Zac",5,1,1
2019,NA,"BLAIR, Zac",4,2,1
2019,NA,"BLING, Devon (a)",4,1,1
2019,NA,"BLING, Devon (a)",5,2,1
2019,NA,"BRADLEY, Keegan",4,1,1
2019,NA,"BRADLEY, Keegan",4,2,1
2019,NA,"BRAMLETT, Joseph",4,1,1
2019,NA,"BRAMLETT, Joseph",4,2,1
2019,NA,"BREMNER, Merrick",4,1,1
2019,NA,"BREMNER, Merrick",5,2,1
2019,NA,"BURMESTER, Dean",4,1,1
2019,NA,"BURMESTER, Dean",3,2,1
2019,NA,"CABRERA BELLO,",3,1,1
2019,NA,"CABRERA BELLO,",5,2,1
2019,NA,"CABRERA BELLO,",4,3,1
2019,NA,"CABRERA BELLO,",4,4,1
2019,NA,"CANTLAY, Patrick",4,1,1
2019,NA,"CANTLAY, Patrick",4,2,1
2019,NA,"CANTLAY, Patrick",4,3,1
2019,NA,"CANTLAY, Patrick",4,4,1
2019,NA,"CASEY, Paul",3,1,1
2019,NA,"CASEY, Paul",4,2,1
2019,NA,"CASEY, Paul",4,3,1
2019,NA,"CASEY, Paul",4,4,1
2019,NA,"CASTRO, Roberto",5,1,1
2019,NA,"CASTRO, Roberto",4,2,1
2019,NA,"DAHMEN, Joel",4,1,1
2019,NA,"DAHMEN, Joel",7,2,1
2019,NA,"DANIELSON, Charlie",4,1,1
2019,NA,"DANIELSON, Charlie",4,2,1
2019,NA,"DANIELSON, Charlie",4,3,1
2019,NA,"DANIELSON, Charlie",4,4,1
2019,NA,"DAVIS, Brian",4,1,1
2019,NA,"DAVIS, Brian",3,2,1
2019,NA,"DAY, Jason",4,1,1
2019,NA,"DAY, Jason",4,2,1
2019,NA,"DAY, Jason",4,3,1
2019,NA,"DAY, Jason",3,4,1
2019,NA,"DECHAMBEAU, Bryson",3,1,1
2019,NA,"DECHAMBEAU, Bryson",4,2,1
2019,NA,"DECHAMBEAU, Bryson",4,3,1
2019,NA,"DECHAMBEAU, Bryson",4,4,1
2019,NA,"DIETRICH, Eric",5,1,1
2019,NA,"DIETRICH, Eric",3,2,1
2019,NA,"DONALD, Luke",5,1,1
2019,NA,"DONALD, Luke",4,2,1
2019,NA,"DONALD, Luke",4,3,1
2019,NA,"DONALD, Luke",5,4,1
2019,NA,"DREWITT, Brett",5,1,1
2019,NA,"DREWITT, Brett",4,2,1
2019,NA,"DUFNER, Jason",6,1,1
2019,NA,"DUFNER, Jason",3,2,1
2019,NA,"DUFNER, Jason",4,3,1
2019,NA,"DUFNER, Jason",4,4,1
2019,NA,"EATON, Chandler",5,1,1
2019,NA,"EATON, Chandler",3,2,1
2019,NA,"EATON, Chandler",4,3,1
2019,NA,"EATON, Chandler",3,4,1
2019,NA,"ECKROAT, Austin (a)",4,1,1
2019,NA,"ECKROAT, Austin (a)",5,2,1
2019,NA,"ELS, Ernie",4,1,1
2019,NA,"ELS, Ernie",4,2,1
2019,NA,"ENGLISH, Harris",4,1,1
2019,NA,"ENGLISH, Harris",3,2,1
2019,NA,"ENGLISH, Harris",4,3,1
2019,NA,"ENGLISH, Harris",5,4,1
2019,NA,"ENOCH, Rhys",4,1,1
2019,NA,"ENOCH, Rhys",5,2,1
2019,NA,"ENOCH, Rhys",4,3,1
2019,NA,"ENOCH, Rhys",5,4,1
2019,NA,"ETULAIN, Julian",4,1,1
2019,NA,"ETULAIN, Julian",4,2,1
2019,NA,"FINAU, Tony",4,1,1
2019,NA,"FINAU, Tony",4,2,1
2019,NA,"FITZPATRICK, Matt",4,1,1
2019,NA,"FITZPATRICK, Matt",4,2,1
2019,NA,"FITZPATRICK, Matt",4,3,1
2019,NA,"FITZPATRICK, Matt",4,4,1
2019,NA,"FLEETWOOD, Tommy",5,1,1
2019,NA,"FLEETWOOD, Tommy",5,2,1
2019,NA,"FLEETWOOD, Tommy",3,3,1
2019,NA,"FLEETWOOD, Tommy",5,4,1
2019,NA,"FOWLER, Rickie",4,1,1
2019,NA,"FOWLER, Rickie",5,2,1
2019,NA,"FOWLER, Rickie",4,3,1
2019,NA,"FOWLER, Rickie",4,4,1
2019,NA,"FOX, Ryan",5,1,1
2019,NA,"FOX, Ryan",6,2,1
2019,NA,"FRASER, Marcus",4,1,1
2019,NA,"FRASER, Marcus",4,2,1
2019,NA,"FURYK, Jim",5,1,1
2019,NA,"FURYK, Jim",4,2,1
2019,NA,"FURYK, Jim",4,3,1
2019,NA,"FURYK, Jim",5,4,1
2019,NA,"GAGNE, Luis",4,1,1
2019,NA,"GAGNE, Luis",4,2,1
2019,NA,"GARCIA, Sergio",4,1,1
