Year,Position,Player,Sum of Strokes,RoundNumber,HoleNumber
1972,1,"Nicklaus, Jack",4,1,1
1972,1,"Nicklaus, Jack",4,1,2
1972,1,"Nicklaus, Jack",4,1,3
1972,1,"Nicklaus, Jack",4,1,4
1972,1,"Nicklaus, Jack",2,1,5
1972,1,"Nicklaus, Jack",5,1,6
1972,1,"Nicklaus, Jack",3,1,7
1972,1,"Nicklaus, Jack",5,1,8
1972,1,"Nicklaus, Jack",4,1,9
1972,1,"Nicklaus, Jack",4,1,10
1972,1,"Nicklaus, Jack",4,1,11
1972,1,"Nicklaus, Jack",3,1,12
1972,1,"Nicklaus, Jack",4,1,13
1972,1,"Nicklaus, Jack",5,1,14
1972,1,"Nicklaus, Jack",4,1,15
1972,1,"Nicklaus, Jack",4,1,16
1972,1,"Nicklaus, Jack",3,1,17
1972,1,"Nicklaus, Jack",5,1,18
1972,1,"Nicklaus, Jack",5,2,1
1972,1,"Nicklaus, Jack",5,2,2
1972,1,"Nicklaus, Jack",4,2,3
1972,1,"Nicklaus, Jack",3,2,4
1972,1,"Nicklaus, Jack",3,2,5
1972,1,"Nicklaus, Jack",4,2,6
1972,1,"Nicklaus, Jack",3,2,7
1972,1,"Nicklaus, Jack",4,2,8
1972,1,"Nicklaus, Jack",4,2,9
1972,1,"Nicklaus, Jack",3,2,10
1972,1,"Nicklaus, Jack",4,2,11
1972,1,"Nicklaus, Jack",3,2,12
1972,1,"Nicklaus, Jack",4,2,13
1972,1,"Nicklaus, Jack",6,2,14
1972,1,"Nicklaus, Jack",5,2,15
1972,1,"Nicklaus, Jack",5,2,16
1972,1,"Nicklaus, Jack",3,2,17
1972,1,"Nicklaus, Jack",5,2,18
1972,1,"Nicklaus, Jack",4,3,1
1972,1,"Nicklaus, Jack",4,3,2
1972,1,"Nicklaus, Jack",4,3,3
1972,1,"Nicklaus, Jack",4,3,4
1972,1,"Nicklaus, Jack",4,3,5
1972,1,"Nicklaus, Jack",5,3,6
1972,1,"Nicklaus, Jack",4,3,7
1972,1,"Nicklaus, Jack",4,3,8
1972,1,"Nicklaus, Jack",4,3,9
1972,1,"Nicklaus, Jack",4,3,10
1972,1,"Nicklaus, Jack",4,3,11
1972,1,"Nicklaus, Jack",3,3,12
1972,1,"Nicklaus, Jack",4,3,13
1972,1,"Nicklaus, Jack",4,3,14
1972,1,"Nicklaus, Jack",4,3,15
1972,1,"Nicklaus, Jack",4,3,16
1972,1,"Nicklaus, Jack",3,3,17
1972,1,"Nicklaus, Jack",5,3,18
1972,1,"Nicklaus, Jack",4,4,1
1972,1,"Nicklaus, Jack",4,4,2
1972,1,"Nicklaus, Jack",4,4,3
1972,1,"Nicklaus, Jack",5,4,4
1972,1,"Nicklaus, Jack",4,4,5
1972,1,"Nicklaus, Jack",5,4,6
1972,1,"Nicklaus, Jack",2,4,7
1972,1,"Nicklaus, Jack",4,4,8
1972,1,"Nicklaus, Jack",4,4,9
